chr	start	end	seq	strand	read_count	mapq	read_count_1	mapq_1	read_count_2	mapq_2	experiment	replicate	genotype	launch_pad_location	insert	sample_type	sorted_gate	pool_nr	sample_name	ctrl_lib_nr	name	genotype_for_title
chr3	34645865	34645866	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34646018	34646019	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34646057	34646058	TA	-	2	42	0	-	2	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34646948	34646949	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34646954	34646955	TA	+	1	40	0	-	1	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34647859	34647860	TA	-	2	42	2	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34648214	34648215	TA	-	2	32.5	2	32.5	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34648234	34648235	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34648358	34648359	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	121661725	121661726	TA	-	2	33	2	33	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34648649	34648650	TA	-	2	41	0	-	2	41	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34648652	34648653	TA	-	1	40	0	-	1	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34652507	34652508	TA	+	3	42	3	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34663596	34663597	TA	+	6	42	0	-	6	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34665559	34665560	TA	+	1	40	0	-	1	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34671237	34671238	TA	+	1	24	1	24	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34673218	34673219	TA	-	3	42	1	42	2	41	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34676726	34676727	TA	+	10	42	10	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34682901	34682902	TA	+	3	40	0	-	3	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34687151	34687152	TA	-	3	42	0	-	3	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	29183709	29183710	TA	+	1	23	0	-	1	23	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	127431515	127431516	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34687486	34687487	TC	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34689949	34689950	GA	-	1	24	0	-	1	24	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34693543	34693544	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34694621	34694622	TA	+	1	40	0	-	1	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34698555	34698556	TA	+	5	42	5	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34700139	34700140	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34700451	34700452	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34701962	34701963	TA	-	2	41	0	-	2	41	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34709942	34709943	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34710786	34710787	TA	+	1	23	0	-	1	23	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	131766977	131766978	TA	+	1	40	0	-	1	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34715448	34715449	TA	+	4	42	4	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34721184	34721185	TA	+	28	23	28	23	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34725443	34725444	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34725469	34725470	TA	+	2	28.5	0	-	2	28.5	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34733040	34733041	TA	+	2	31.5	1	21	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34739622	34739623	TA	+	2	32.5	0	-	2	32.5	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34740593	34740594	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34743795	34743796	TA	+	2	33	2	33	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34749085	34749086	TA	-	4	23	0	-	4	23	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34750211	34750212	TA	-	2	42	2	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	132271087	132271088	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34752940	34752941	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34754848	34754849	TA	-	13	42	1	24	12	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34755727	34755728	TA	-	1	40	0	-	1	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34760197	34760198	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34769328	34769329	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34770992	34770993	TA	+	5	42	5	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34771021	34771022	TA	-	3	42	2	41	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34771050	34771051	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34771439	34771440	TA	-	4	40	0	-	4	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34771455	34771456	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	134072268	134072269	TA	+	1	23	1	23	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34772741	34772742	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34773790	34773791	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34774621	34774622	TA	+	4	42	4	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34776465	34776466	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34777782	34777783	TG	-	1	24	1	24	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34777785	34777786	TA	-	3	42	3	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34784874	34784875	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34792255	34792256	TA	-	1	40	0	-	1	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34793817	34793818	TA	+	2	42	0	-	2	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34795440	34795441	TA	+	1	23	0	-	1	23	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	138914455	138914456	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34795752	34795753	TA	-	4	42	0	-	4	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34795755	34795756	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34800987	34800988	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34802063	34802064	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34805788	34805789	TA	+	2	40	2	40	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34806799	34806800	TA	+	7	40	7	40	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34807316	34807317	TA	-	3	42	0	-	3	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34810374	34810375	TA	-	2	42	0	-	2	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34811585	34811586	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34813277	34813278	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	143623138	143623139	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34815648	34815649	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34816366	34816367	TA	-	1	23	0	-	1	23	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34818967	34818968	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34823611	34823612	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34823617	34823618	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34836999	34837000	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34838785	34838786	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34841836	34841837	TA	-	1	18	0	-	1	18	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34845565	34845566	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34854020	34854021	TA	+	2	42	0	-	2	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	144872168	144872169	TA	+	1	11	1	11	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34861115	34861116	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34862220	34862221	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34871688	34871689	TA	-	1	40	0	-	1	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34876457	34876458	TA	+	3	42	3	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34880310	34880311	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34882945	34882946	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34891754	34891755	TA	-	4	40	0	-	4	40	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34894089	34894090	TA	-	2	42	0	-	2	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34897244	34897245	TA	+	1	40	1	40	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34898572	34898573	TA	+	4	42	0	-	4	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	149565656	149565657	TA	+	1	24	1	24	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34900880	34900881	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34923723	34923724	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34925004	34925005	TA	-	2	40	2	40	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34926705	34926706	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34936876	34936877	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34946485	34946486	TA	-	1	21	1	21	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34961000	34961001	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34961004	34961005	TA	+	3	42	0	-	3	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34980007	34980008	TA	-	2	32.5	0	-	2	32.5	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34981111	34981112	TA	-	6	42	3	42	3	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	159261784	159261785	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34987511	34987512	TA	+	2	14	2	14	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	34998229	34998230	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35035827	35035828	TA	-	3	40	3	40	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35038577	35038578	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35046297	35046298	TA	-	2	42	0	-	2	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35048186	35048187	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35067138	35067139	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35115228	35115229	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35133535	35133536	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35134554	35134555	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	159347832	159347833	TA	-	1	35	1	35	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35150199	35150200	TA	+	1	40	1	40	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35150368	35150369	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35150735	35150736	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35153324	35153325	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35154809	35154810	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35201063	35201064	TA	+	2	34	1	26	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35207358	35207359	TA	-	1	40	1	40	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35223453	35223454	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35223457	35223458	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35230425	35230426	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	33487600	33487601	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	162738240	162738241	TA	-	2	42	0	-	2	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35243515	35243516	TA	-	2	32.5	2	32.5	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35266609	35266610	TA	+	2	33	2	33	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35271759	35271760	TA	+	1	40	1	40	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35313459	35313460	TA	-	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35338717	35338718	TA	+	1	42	1	42	0	-	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35338792	35338793	TA	-	2	42	0	-	2	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35354124	35354125	TA	-	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35396351	35396352	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35453603	35453604	TA	+	1	42	0	-	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr3	35455824	35455825	TA	+	2	42	1	42	1	42	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
chr1	162744383	162744384	TA	-	1	24	0	-	1	24	E2282	rep2	WT	-116 kb	Sox2P	control pool	-	NA	Sox2P-reporter -116 kb, unsorted control pool rep2	NA	NA	NA
